mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
14908.67535400391,8621344959.426395,304.3333317,15.21666658,1
14913.69221115112,8621344964.443253,298.5768204,14.92884102,1
14918.80531692505,8621344969.556358,293.2668653,14.66334326,1
14923.83177947998,8621344974.582817,289.737371,14.48686855,1
14928.85889816284,8621344979.60994,288.4540826,14.42270413,1
14933.88191223145,8621344984.632954,289.7073662,14.48536831,1
14938.9405670166,8621344989.691608,292.6633733,14.63316867,1
14943.9474029541,8621344994.698444,296.4415097,14.82207549,1
14948.95465660095,8621344999.705698,301.2726304,15.06363152,1
14953.96091842651,8621345004.71196,304.0231841,15.20115921,1
14958.96875762939,8621345009.719799,308.5492693,15.42746346,1
14963.97560310364,8621345014.726645,311.3802965,15.56901482,1
14969.02016830444,8621345019.77121,312.2636851,15.61318425,1
14974.02895545959,8621345024.779997,310.049919,15.50249595,1
14979.0412902832,8621345029.792332,307.480387,15.37401935,1
14984.04706573486,8621345034.798107,301.9954305,15.09977152,1
14989.05397796631,8621345039.805012,299.9657105,14.99828553,1
14994.07596969604,8621345044.827011,300.7916835,15.03958417,1
14999.08273124695,8621345049.833767,301.9655479,15.0982774,1
15004.09520339966,8621345054.846245,309.7225856,15.48612928,1
15009.22633552551,8621345059.977371,315.8704805,15.79352402,1
15014.24527168274,8621345064.996313,321.2759867,16.06379933,1
15019.26305198669,8621345070.014093,326.1194095,16.30597048,1
15024.30558013916,8621345075.056622,329.7777749,16.48888874,1
15029.31399917603,8621345080.065041,333.1308099,16.6565405,1
15034.42673873901,8621345085.17778,335.8051125,16.79025562,1
15039.4354019165,8621345090.186443,337.9262885,16.89631442,1
15044.44961166382,8621345095.200653,340.8302002,17.04151001,1
15049.67701721191,8621345100.428051,342.989433,17.14947165,1
15054.69114494324,8621345105.442186,340.009592,17.0004796,1
15059.72974777222,8621345110.480789,337.518493,16.87592465,1
15064.73764801025,8621345115.488689,334.9659126,16.74829563,1
15069.74858856201,8621345120.49963,328.8738434,16.44369217,1
15074.76649665833,8621345125.517538,324.4296028,16.22148014,1
15080.16238021851,8621345130.913422,319.8671915,15.99335958,1
15085.16841506958,8621345135.919456,319.3953712,15.96976856,1
15090.18466186523,8621345140.935703,321.6804911,16.08402456,1
15095.19067764282,8621345145.941719,324.2181569,16.21090785,1
15100.20002746582,8621345150.951069,328.1800138,16.40900069,1
15105.20647621155,8621345155.957518,329.8626827,16.49313414,1
15110.21510887146,8621345160.96615,332.6312971,16.63156485,1
15115.265417099,8621345166.016459,335.3897026,16.76948513,1
15120.27953720093,8621345171.030579,337.4763078,16.87381539,1
15125.28859710693,8621345176.039639,338.3550522,16.91775261,1
15130.30063056946,8621345181.051672,338.3561916,16.91780958,1
15135.30932807922,8621345186.060369,338.640722,16.9320361,1
15140.31677246094,8621345191.067814,339.577813,16.97889065,1
15145.32607078552,8621345196.077112,341.9474199,17.09737099,1
15150.34799766541,8621345201.099039,347.0432837,17.35216419,1
15155.38201713562,8621345206.133059,348.3863491,17.41931745,1
15160.42709922791,8621345211.178141,349.3938127,17.46969063,1
15165.45072937012,8621345216.201771,350.1178688,17.50589344,1
15170.50045776367,8621345221.251492,351.0815194,17.55407597,1
15175.57763290405,8621345226.328674,351.6646064,17.58323032,1
15180.58811759949,8621345231.339159,352.0237739,17.60118869,1
15185.60003852844,8621345236.35108,352.5688725,17.62844362,1
15190.61501693726,8621345241.366058,352.4024848,17.62012424,1
15195.63242721558,8621345246.383469,346.688522,17.3344261,1
15200.66592407227,8621345251.416965,342.4864627,17.12432314,1
15205.68701934814,8621345256.438061,336.3196856,16.81598428,1
15210.6979675293,8621345261.449001,335.8718922,16.79359461,1
15215.70602416992,8621345266.457066,340.5305038,17.02652519,1
15220.71565628052,8621345271.466698,344.6622799,17.23311399,1
15225.72710800171,8621345276.478149,350.7484136,17.53742068,1
15230.7364730835,8621345281.487514,354.2487974,17.71243987,1
15235.74666976929,8621345286.497711,359.2083284,17.96041642,1
15240.7564201355,8621345291.507462,362.454676,18.1227338,1
15245.76467895508,8621345296.51572,365.21024,18.260512,1
15250.7707118988,8621345301.521753,365.7970094,18.28985047,1
15255.77588272095,8621345306.526924,364.7487132,18.23743566,1
15260.78510856628,8621345311.53615,364.0293546,18.20146773,1
15265.79173660278,8621345316.542778,363.4724496,18.17362248,1
15270.80072212219,8621345321.551764,363.651323,18.18256615,1
15275.83508872986,8621345326.58613,363.6344444,18.18172222,1
15280.89860916138,8621345331.649651,361.7393059,18.0869653,1
15286.22085952759,8621345336.971901,351.7510536,17.58755268,1
15291.22846031189,8621345341.979502,344.7848987,17.23924494,1
15296.23452568054,8621345346.985567,341.6646386,17.08323193,1
15301.24176979065,8621345351.992811,338.8498901,16.94249451,1
15306.24703598022,8621345356.998077,333.6780411,16.68390206,1
15311.25395965576,8621345362.005001,331.9347357,16.59673678,1
15316.26231575012,8621345367.013357,332.2169335,16.61084667,1
15321.26845550537,8621345372.019497,333.8157337,16.69078669,1
15326.27458572388,8621345377.025627,334.7405468,16.73702734,1
15331.3403377533,8621345382.091379,336.7483696,16.83741848,1
15336.3521156311,8621345387.103157,337.1431104,16.85715552,1
15341.3946647644,8621345392.145706,337.2937956,16.86468978,1
15346.40372276306,8621345397.154764,338.9067048,16.94533524,1
15351.45450401306,8621345402.205545,339.8073262,16.99036631,1
15356.46327400208,8621345407.214315,338.7447036,16.93723518,1
15361.53785896301,8621345412.2889,334.4562288,16.72281144,1
15366.63314247131,8621345417.384184,327.1485011,16.35742506,1
15371.64152908325,8621345422.39257,318.7507606,15.93753803,1
15376.64919471741,8621345427.400236,311.8340613,15.59170307,1
15381.65752029419,8621345432.408562,309.8163114,15.49081557,1
15386.71827316284,8621345437.469311,309.7193377,15.48596689,1
15391.72637367249,8621345442.477415,310.9313024,15.54656512,1
15396.74766540527,8621345447.498707,312.6360625,15.63180312,1
15401.75411224365,8621345452.505154,313.282648,15.6641324,1
15406.80648422241,8621345457.557526,313.0788258,15.65394129,1
15411.83723831177,8621345462.58828,314.1125987,15.70562993,1
15416.85753440857,8621345467.608576,316.0919021,15.80459511,1
15421.872215271,8621345472.623257,315.5706385,15.77853192,1
15426.88586807251,8621345477.636909,314.5220696,15.72610348,1
15431.89233398438,8621345482.643375,312.5751202,15.62875601,1
15436.89905929565,8621345487.650101,311.8835512,15.59417756,1
15441.90742111206,8621345492.658463,312.0685179,15.6034259,1
15446.91293334961,8621345497.663975,313.9677093,15.69838547,1
15451.91851615906,8621345502.669558,316.0417378,15.80208689,1
15456.98941612244,8621345507.740458,318.9136748,15.94568374,1
15461.99964904785,8621345512.75069,323.3657701,16.1682885,1
15467.01431846619,8621345517.76536,325.7483691,16.28741845,1
15472.02264404297,8621345522.77368,328.5072369,16.42536184,1
15477.02972221375,8621345527.780758,334.0093632,16.70046816,1
15482.03805923462,8621345532.789101,333.4970927,16.67485464,1
15487.0455532074,8621345537.796595,333.4533814,16.67266907,1
15492.05623054504,8621345542.807272,334.0958117,16.70479058,1
15497.06534957886,8621345547.816391,332.4646602,16.62323301,1
15502.14263343811,8621345552.893675,326.7538395,16.33769197,1
15507.33495521545,8621345558.085997,320.724247,16.03621235,1
15512.39479064941,8621345563.145832,317.6507902,15.88253951,1
15517.42169952393,8621345568.172741,319.8765388,15.99382694,1
15522.43923568726,8621345573.190277,326.7205492,16.33602746,1
15527.4536857605,8621345578.204727,329.4849342,16.47424671,1
15532.46292495728,8621345583.213966,332.6428047,16.63214023,1
15537.4687538147,8621345588.219795,334.3450307,16.71725154,1
15542.49809837341,8621345593.24914,337.7052843,16.88526421,1
15547.50430107117,8621345598.255342,338.6634269,16.93317134,1
15552.51105499268,8621345603.262091,338.0714462,16.90357231,1
15557.52644729614,8621345608.277489,336.1676909,16.80838454,1
15562.53407859802,8621345613.28512,334.8087726,16.74043863,1
15567.5556640625,8621345618.306705,331.1461385,16.55730692,1
15572.66788101196,8621345623.418922,329.1246228,16.45623114,1
15577.74428367615,8621345628.495325,325.0630264,16.25315132,1
15582.90824890137,8621345633.65929,322.9959959,16.1497998,1
15588.02696800232,8621345638.778009,324.5992998,16.22996499,1
15593.03681182861,8621345643.787853,329.8487026,16.49243513,1
15598.04338645935,8621345648.794428,336.8728423,16.84364211,1
15603.21257781982,8621345653.963619,338.4935676,16.92467838,1
15608.274766922,8621345659.025808,340.2672641,17.01336321,1
15613.29858398438,8621345664.04962,341.0853419,17.05426709,1
15618.33290863037,8621345669.08395,342.3005159,17.1150258,1
15623.39594841003,8621345674.14699,343.5585556,17.17792778,1
15628.40439987183,8621345679.155441,344.5047912,17.22523956,1
15633.41098594666,8621345684.162027,345.3343869,17.26671934,1
15638.47276115417,8621345689.223803,345.5634243,17.27817122,1
15643.60172271729,8621345694.352764,344.6193054,17.23096527,1
15648.65583992004,8621345699.406881,344.8861134,17.24430567,1
15653.69930839539,8621345704.45035,345.5336092,17.27668046,1
15658.70980644226,8621345709.460848,346.9351353,17.34675677,1
15663.83915328979,8621345714.590195,348.6255668,17.43127834,1
15668.84620094299,8621345719.597242,351.5523103,17.57761551,1
15674.05205154419,8621345724.803093,353.6186017,17.68093009,1
15679.42528533936,8621345730.176327,356.9411556,17.84705778,1
15684.71650695801,8621345735.467548,356.544523,17.82722615,1
15689.73105430603,8621345740.482096,355.9726584,17.79863292,1
15694.74374198914,8621345745.494783,355.2513889,17.76256945,1
15699.91552734375,8621345750.666569,347.1049859,17.35524929,1
15704.94650268555,8621345755.697544,335.0573227,16.75286613,1
15709.96307754517,8621345760.714119,329.5722107,16.47861053,1
15714.97434997559,8621345765.725391,324.6886496,16.23443248,1
15719.98077392578,8621345770.731815,321.9545165,16.09772583,1
15724.99591636658,8621345775.746958,321.5682744,16.07841372,1
15730.00180053711,8621345780.752842,321.5738681,16.0786934,1
15735.00873565674,8621345785.759777,322.0290464,16.10145232,1
15740.01551818848,8621345790.76656,325.0823376,16.25411688,1
15745.02411460876,8621345795.775156,330.4568908,16.52284454,1
15750.04817962646,8621345800.799221,332.5578883,16.62789441,1
15755.07169723511,8621345805.822739,333.8904377,16.69452189,1
15760.08028030396,8621345810.831322,333.8102183,16.69051091,1
15765.10854530334,8621345815.859587,330.0682165,16.50341083,1
15770.19970703125,8621345820.950748,325.8889464,16.29444732,1
15775.20619010925,8621345825.957232,322.9157526,16.14578763,1
15780.21764373779,8621345830.968685,320.4471757,16.02235879,1
15785.23700332642,8621345835.988045,319.6940743,15.98470372,1
15790.25340461731,8621345841.004446,318.7480615,15.93740308,1
15795.26629638672,8621345846.017338,319.2987665,15.96493833,1
15800.27589416504,8621345851.026936,320.1550486,16.00775243,1
15805.28947067261,8621345856.040512,321.3231069,16.06615535,1
15810.3000164032,8621345861.051058,322.7163092,16.13581546,1
15815.35624694824,8621345866.107288,324.6214117,16.23107059,1
15820.3892326355,8621345871.140274,325.7109791,16.28554895,1
15825.41812133789,8621345876.169163,322.3609998,16.11804999,1
15830.42438316345,8621345881.175425,319.3126224,15.96563112,1
15835.45981025696,8621345886.210852,318.7875937,15.93937969,1
15840.46794509888,8621345891.218987,319.8061417,15.99030709,1
